time,id,etof,hectares
2020-06-06,1,0.542,3541.741
2020-06-07,1,0.542,3541.741
2020-06-08,1,0.542,3541.741
2020-06-09,1,0.531,3541.741
2020-06-10,1,0.463,3541.741
2020-06-11,1,0.451,3541.741
2020-06-12,1,0.451,3541.741
2020-06-13,1,0.451,3541.741
2020-06-14,1,0.451,3541.741
2020-06-15,1,0.451,3541.741
2020-06-16,1,0.451,3541.741
2020-06-17,1,0.38,3541.741
2020-06-18,1,0.421,3541.741
2020-06-19,1,0.421,3541.741
2020-06-20,1,0.421,3541.741
2020-06-21,1,0.421,3541.741
2020-06-22,1,0.421,3541.741
2020-06-23,1,0.421,3541.741
2020-06-24,1,0.421,3541.741
2020-06-25,1,0.44,3541.741
2020-06-26,1,0.456,3541.741
2020-06-27,1,0.456,3541.741
2020-06-28,1,0.456,3541.741
2020-06-29,1,0.456,3541.741
2020-06-30,1,0.456,3541.741
2020-07-01,1,0.456,3541.741
2020-07-02,1,0.456,3541.741
2020-07-03,1,0.483,3541.741
2020-07-04,1,0.49,3541.741
